[derived:find Security Issues using tools like trivy and opengrep] derived/derived-docs | security-issues | This documentation set is a **derived, focused reorganization** of Gitea's existing Markdown | tags: find, security, issues, using, tools | derived-docs/
[guidelines] guidelines/repo_guidelines_gitea/anti-patterns-to-avoid | [Guidelines] Anti-patterns to Avoid | - Do **not** import live `models` structs into `models/migrations/*` — [ENFORCED] by `depguard` ("migrations must not depend on the models package" / "must not depend on modules/structs"). Redefine the needed shape locally instead. - Do **n | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/build,-lint-&-ci | [Guidelines] Build, Lint & CI | - **Build orchestration:** root `Makefile` — key targets: `make help`, `make fmt`, `make lint-go`, `make lint-js`, `make tidy`, `make frontend`. - **Go linting** [ENFORCED, golangci-lint v2, opt-in list only — `linters.default: none`]: `bid | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/coding-style-&-naming | [Guidelines] Coding Style & Naming | - **Files:** `snake_case.go` (`protected_branch.go`, `run_job.go`). Migration files: strictly `v<version>.go`. Platform-specific files use Go build tags (`//go:build windows`) combined with a descriptive suffix rather than a strict `_window | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/common-patterns | [Guidelines] Common Patterns | ### CLI Entrypoint Pattern - `main.go` overrides `cli.OsExiter` and explicitly calls `log.GetManager().Close()` both inside the custom exiter **and** after `RunMainApp` returns normally — this is called out in-code as a **MUST**, "otherwise | tags: cli-entrypoint-pattern, error-handling, data-access-/-api-patterns, component/module-structure, state-management | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/import-&-export-conventions | [Guidelines] Import & Export Conventions | - **Three-block Go import grouping** [ENFORCED by `gci` formatter, CONFIRMED via `main.go`/`main_timezones.go`]: stdlib → blank line → `gitea.dev/...` internal (including blank-import side-effect groups) → blank line → third-party. - Custom | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/internal-frameworks-&-utilitie | [Guidelines] Internal Frameworks & Utilities | - `gitea.dev/modules/util` — error sentinels (`ErrNotExist`, `ErrPermissionDenied`), `ErrorWrap`, `NewInvalidArgumentErrorf`. Use instead of ad hoc error construction. - `gitea.dev/modules/json` — drop-in `encoding/json` replacement; mandat | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/project-structure | [Guidelines] Project Structure | > Note: no `models/`, `services/`, `routers/`, or `models/migrations/` files were present in the latest verification sample — the items below remain as previously established and were not re-confirmed or contradicted this pass.  - **Layered | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/required-libraries-&-packages | [Guidelines] Required Libraries & Packages | ### Core/Framework - `xorm.io/xorm` + `xorm.io/builder` — the only DB/query layer. Do not introduce `database/sql` directly or another ORM. - `github.com/yuin/goldmark` (66 files) — sole markdown renderer. - `github.com/urfave/cli/v3` — CLI | tags: core/framework, internal/private-(must-use), preferred-third-party, explicitly-forbidden-—-do-not-introduce | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/tech-stack-&-frameworks | [Guidelines] Tech Stack & Frameworks | > Note on verification coverage: the most recent verification pass sampled mostly frontend-tooling configs (stylelint, tailwind, eslint-json, playwright, vitest, `types.d.ts`) plus two Go files (`main.go`, `main_timezones.go`). Backend-spec | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[guidelines] guidelines/repo_guidelines_gitea/testing-conventions | [Guidelines] Testing Conventions | - Unit tests: `_test.go` colocated with source; `main_test.go` per package for shared setup. - Assertions: `testify` (`assert`/`require`) is the standard — 589 files use it; don't introduce a second assertion library. - Integration tests: Y | tags:  | .sasva/contexts/guidelines_repo_guidelines_3195aa6e/CONTEXT_REPORT.md
[product-docs] product-docs/actions-ci | Actions Ci | Gitea Actions is Gitea's built-in CI/CD system, designed to be workflow-YAML-compatible with | tags: actions-ci | docs/14-actions-ci/
[product-docs] product-docs/admin-guide | Admin Guide | Operational guidance for running, upgrading, and maintaining a Gitea instance. This section is a | tags: admin-guide | docs/18-admin-guide/
[product-docs] product-docs/architecture | Architecture | The overall system design, source-tree layout, and how Gitea's components fit together. This | tags: architecture | docs/02-architecture/
[product-docs] product-docs/authentication | Authentication | Gitea supports a wide range of authentication mechanisms — a built-in username/password | tags: authentication | docs/11-authentication/
[product-docs] product-docs/build-cicd-deployment | Build Cicd Deployment | This section documents everything involved in turning Gitea source code into a running service: the local `Makefile`-driven build system, the multi-stage Docker images, the full catalog of GitHub Acti | tags: build-cicd-deployment | docs/build-cicd-deployment/
[product-docs] product-docs/cli-admin | Cli Admin | Administrative command-line operations for managing a Gitea instance. Gitea | tags: cli-admin | docs/16-cli-admin/
[product-docs] product-docs/cli-commands | Cli Commands | Reference for the `gitea` binary's command-line subcommands and flags. This section is a short | tags: cli-commands | docs/19-cli-commands/
[product-docs] product-docs/configuration | Configuration | Gitea is configured almost entirely through a single INI-format file, conventionally located at `custom/conf/app.ini`. Internally, all configuration parsing, validation, defaulting, and type conversio | tags: configuration | docs/04-configuration/
[product-docs] product-docs/contributing-development | Contributing Development | Contributor workflow, coding guidelines, and project governance for Gitea. This | tags: contributing-development | docs/22-contributing-development/
[product-docs] product-docs/core-modules | Core Modules | Dependency-free shared libraries in `modules/` such as git, cache, queue, and storage. Unlike | tags: core-modules | docs/09-core-modules/
[product-docs] product-docs/database-models | Database Models | Gitea's ORM entities, database schema, and migration system in `models/`. | tags: database-models | docs/05-database-models/
[product-docs] product-docs/docs__index | Product Documentation (docs/) | Comprehensive technical documentation for Gitea, a lightweight, self-hosted, all-in-one software development service written in Go. Gitea brings Git hosting, code review, issue tracking, project management (kanban boards), a wiki, team/orga | tags: product-docs, documentation, introduction, architecture, getting started, configuration, database models, web routers, rest api, services | docs/index.md
[product-docs] product-docs/frontend-ui | Frontend Ui | The web frontend built with Vue, Fomantic-UI, and Vite in `web_src/`. Gitea's UI is | tags: frontend-ui | docs/20-frontend-ui/
[product-docs] product-docs/getting-started | Getting Started | Installing, configuring, and running Gitea for the first time — from a fresh `git clone` to a fully installed, running instance. | tags: getting-started | docs/03-getting-started/
[product-docs] product-docs/git-integration | Git Integration | How Gitea shells out to and wraps native Git operations via `modules/git`. This section is a | tags: git-integration | docs/10-git-integration/
[product-docs] product-docs/introduction | Introduction | Gitea is a lightweight, self-hosted, all-in-one software development service written in [Go](https://go.dev). It brings together **Git hosting**, **code review**, **issue tracking**, **project managem | tags: introduction | docs/01-introduction/
[product-docs] product-docs/issues-pullrequests | Issues Pullrequests | Issue tracking, pull request workflows, reviews, and merging. | tags: issues-pullrequests | docs/13-issues-pullrequests/
[product-docs] product-docs/notifications | Notifications | In-app and email notification systems for repository and user activity. This section is a short | tags: notifications | docs/17-notifications/
[product-docs] product-docs/packages-registry | Packages Registry | Gitea ships a built-in, multi-ecosystem package registry: a single Gitea instance can serve | tags: packages-registry | docs/15-packages-registry/
[product-docs] product-docs/repository-management | Repository Management | Repository creation, forking, mirroring, wikis, and settings. | tags: repository-management | docs/12-repository-management/
[product-docs] product-docs/rest-api | Rest Api | Gitea exposes nearly all of its functionality through a comprehensive, versioned JSON REST API mounted at `/api/v1`. The API is implemented in `routers/api/v1/`, uses the same `chi`-based `web.Router` | tags: rest-api | docs/07-rest-api/
[product-docs] product-docs/services | Services | Business-logic layer in `services/` that orchestrates models and modules. Routers (both the HTML | tags: services | docs/08-services/
[product-docs] product-docs/testing-quality | Testing Quality | Gitea's test suite spans five layers — Go backend unit tests, database-backed integration tests, frontend (Vitest) unit tests, Playwright end-to-end browser tests, and continuous fuzz testing of secur | tags: testing-quality | docs/21-testing-quality/
[product-docs] product-docs/web-routers | Web Routers | This section documents the HTML/UI-facing HTTP layer of Gitea: how incoming browser requests are | tags: web-routers | docs/06-web-routers/
[product-docs] product-docs/webhooks-integrations | Webhooks Integrations | Outbound webhooks and third-party integrations triggered by repository events. This section is a | tags: webhooks-integrations | docs/16-webhooks-integrations/
